rsi,pivot_k,direction,locations,trigger,target_r,n_trades,winrate,avg_r,profit_factor,total_r,max_dd_r,n_instruments,n_instruments_positive,score,per_instrument
14,3,short,fib+bb,macd,2.5,3,0.3333333333333333,0.12934912701179288,1.1837386774451493,0.3880473810353786,1.1119526189646214,3,1,0.22403925989910511,"MSFT:n=1,avgR=-1.00; SP500:n=1,avgR=2.50; NASDAQ:n=1,avgR=-1.11"
14,3,short,sr+bb,either,2.5,10,0.3,0.05,1.0714285714285714,0.5,3.5,4,2,0.158113883008419,"EURUSD:n=1,avgR=-1.00; MSFT:n=6,avgR=-0.42; SP500:n=2,avgR=0.75; NASDAQ:n=1,avgR=2.50"
9,3,long,sr,macd,1.5,122,0.4262295081967213,0.011083061705036718,1.0196188524506475,1.3521335280144797,17.68120838409713,5,3,0.12241641770789355,"GOOG:n=7,avgR=-0.01; EURUSD:n=36,avgR=-0.19; MSFT:n=35,avgR=0.01; SP500:n=23,avgR=0.33; NASDAQ:n=21,avgR=0.00"
14,5,long,sr,macd,2.5,20,0.3,0.018338068801715467,1.0284922028114758,0.36676137603430936,3.0,5,3,0.0820103368334078,"GOOG:n=2,avgR=-1.27; EURUSD:n=8,avgR=0.37; MSFT:n=7,avgR=0.10; SP500:n=1,avgR=1.25; NASDAQ:n=2,avgR=-1.00"
14,5,long,sr+fib,candle,1.5,5,0.4,0.0,1.0,0.0,3.0,4,2,0.0,"EURUSD:n=1,avgR=1.50; MSFT:n=1,avgR=-1.00; SP500:n=2,avgR=-1.00; NASDAQ:n=1,avgR=1.50"
14,5,long,bb,either,1.5,5,0.4,0.0,1.0,0.0,2.0,3,1,0.0,"EURUSD:n=3,avgR=-0.17; MSFT:n=1,avgR=-1.00; NASDAQ:n=1,avgR=1.50"
14,5,long,fib,candle,1.5,5,0.4,0.0,1.0,0.0,3.0,4,2,0.0,"EURUSD:n=1,avgR=1.50; MSFT:n=1,avgR=-1.00; SP500:n=2,avgR=-1.00; NASDAQ:n=1,avgR=1.50"
9,5,short,fib+bb,either,2.5,7,0.2857142857142857,0.0,1.0,0.0,5.0,4,2,0.0,"GOOG:n=1,avgR=2.50; EURUSD:n=1,avgR=-1.00; MSFT:n=3,avgR=-1.00; NASDAQ:n=2,avgR=0.75"
9,5,long,bb,macd,2.5,7,0.2857142857142857,0.0,1.0,0.0,4.0,3,1,0.0,"EURUSD:n=4,avgR=0.75; MSFT:n=2,avgR=-1.00; SP500:n=1,avgR=-1.00"
9,3,long,sr+bb,macd,1.5,5,0.4,0.0,1.0,0.0,3.0,3,1,0.0,"EURUSD:n=2,avgR=1.50; MSFT:n=2,avgR=-1.00; SP500:n=1,avgR=-1.00"
